comune_1,comune_2,similarità_anni di attività,similarità_azioni eseguite (voci della tassonomia),similarità_macroambiti dei piani,similarità_densità (ab. / km2),similarità_popolazione (al 2022),similarità_campi dei piani,similarità_saldo popolazione 1992-2022,similarità_altitudine,similarità_distanza dal capoluogo,similarità_Media generale,similarità Media Caratteristiche comunali,similarità Media Piani comunali
Cerete,Todi,1.0,0.56,1.0,,,1.0,,0.8235530724187283,,0.487,0.0,0.89
Perugia,Todi,0.667,0.609,1.0,,,0.857,,0.9815185642029952,,0.457,0.0,0.783
Todi,Regalbuto,1.0,0.455,1.0,,,0.688,,0.9374186189656352,,0.453,0.0,0.786
Todi,Romana,0.75,0.46,1.0,,,0.8,,0.9937907408923486,,0.445,0.0,0.752
Todi,Alghero,1.0,0.404,1.0,,,0.667,,0.9134805357065041,,0.443,0.0,0.768
Padova,Todi,0.667,0.596,1.0,,,0.812,,0.8945683351445529,,0.441,0.0,0.769
Mezzolombardo,Todi,0.5,0.64,1.0,,,0.867,,0.9375922274289465,,0.438,0.0,0.752
Onore,Todi,0.667,0.523,1.0,,,0.923,,0.7824654546526277,,0.433,0.0,0.778
Fino del Monte,Todi,0.667,0.523,1.0,,,0.923,,0.7519404359606028,,0.429,0.0,0.778
Albignasego,Todi,0.667,0.492,1.0,,,0.812,,0.8939211502012188,,0.429,0.0,0.743
Todi,Cagliari,0.667,0.481,1.0,,,0.8,,0.8935930122140968,,0.427,0.0,0.737
Songavazzo,Todi,0.667,0.523,1.0,,,0.923,,0.7303670509222419,,0.427,0.0,0.778
Rovetta,Todi,0.667,0.523,1.0,,,0.923,,0.7054631513134748,,0.424,0.0,0.778
Todi,San Vito,0.333,0.542,1.0,,,0.929,,0.990941928575122,,0.422,0.0,0.701
Due Carrare,Todi,0.667,0.37,1.0,,,0.857,,0.8940249932220616,,0.421,0.0,0.724
Rivalta di Torino,Todi,0.333,0.444,1.0,,,1.0,,0.9940395948157811,,0.419,0.0,0.694
Calliano,Todi,0.6,0.509,1.0,,,0.812,,0.8440255102468283,,0.418,0.0,0.73
Riva del Garda,Todi,0.5,0.58,1.0,,,0.812,,0.8614457682234017,,0.417,0.0,0.723
Dro,Todi,0.5,0.537,1.0,,,0.765,,0.9510280144997594,,0.417,0.0,0.7
Pergine Valsugana,Todi,0.6,0.5,1.0,,,0.8,,0.8420127835264681,,0.416,0.0,0.725
Stenico,Todi,0.6,0.617,1.0,,,0.867,,0.6608633662256848,,0.416,0.0,0.771
Giovo,Todi,0.5,0.625,1.0,,,0.765,,0.8355488431938654,,0.414,0.0,0.722
Storo,Todi,0.6,0.625,1.0,,,0.765,,0.7349983620738934,,0.414,0.0,0.748
Siena,Todi,0.667,0.286,1.0,,,0.769,,0.9915810617928104,,0.413,0.0,0.68
Bondone,Todi,0.6,0.596,1.0,,,0.765,,0.7264070247739216,,0.41,0.0,0.74
Rovereto,Todi,0.5,0.617,1.0,,,0.684,,0.8822001106554661,,0.409,0.0,0.7
Todi,San Gregorio di Catania,1.0,0.357,0.8,,,0.529,,0.9884228768562894,,0.408,0.0,0.672
Garniga Terme,Todi,0.5,0.511,1.0,,,0.923,,0.7303547963811783,,0.407,0.0,0.734
Cavedine,Todi,0.5,0.58,1.0,,,0.8,,0.7737877686398144,,0.406,0.0,0.72
Castel Condino,Todi,0.6,0.604,1.0,,,0.765,,0.6844985563578773,,0.406,0.0,0.742
Piossasco,Todi,0.333,0.553,1.0,,,0.8,,0.9637839362896526,,0.406,0.0,0.672
Comano Terme,Todi,0.5,0.596,1.0,,,0.812,,0.7330322505425001,,0.405,0.0,0.727
Lavis,Todi,0.5,0.436,1.0,,,0.706,,0.9899282920661946,,0.404,0.0,0.66
Mezzocorona,Todi,0.5,0.48,1.0,,,0.8,,0.8563002392015456,,0.404,0.0,0.695
Ponteranica,Todi,0.333,0.519,1.0,,,0.867,,0.9067216943600555,,0.403,0.0,0.68
Arco,Todi,0.5,0.529,1.0,,,0.75,,0.8480056848031677,,0.403,0.0,0.695
Novaledo,Todi,0.5,0.457,1.0,,,0.857,,0.8101192619233232,,0.403,0.0,0.704
Segonzano,Todi,0.5,0.618,1.0,,,0.722,,0.7696731121122504,,0.401,0.0,0.71
Trento,Todi,0.5,0.582,1.0,,,0.667,,0.8588984899705854,,0.401,0.0,0.687
