organizzazione_1,organizzazione_2,similarità_dimensione,similarità_codateco_aggregato,similarità_popolazione_classi_ordinali,similarità_anno_compilazione,similarità_numero_codice_campo,similarità_organico,similarità_codice_macro,similarità_label 0,similarità_media
12344696,12349982,False,False,0.21,0.64,0.92,0.88,0.86,0.21,0.46499999999999997
12344696,13036277,True,False,1.0,0.64,1.0,0.84,1.0,0.3,0.7225
12344696,24460182,True,True,1.0,0.3,0.82,0.76,1.0,0.17,0.75625
12344696,13315566,True,False,1.0,0.73,1.0,0.83,1.0,0.22,0.7224999999999999
12344696,13370884,True,False,1.0,0.2,1.0,0.87,1.0,0.24,0.6637500000000001
12344696,15120213,True,False,1.0,0.64,1.0,0.81,1.0,0.28,0.71625
12344696,13327152,True,False,1.0,0.55,0.91,0.85,1.0,0.31,0.7024999999999999
12344696,13369994,True,False,1.0,0.64,0.82,0.9,1.0,0.29,0.70625
12344696,13090819,True,False,0.21,0.2,0.55,0.56,0.67,0.07,0.4075
12344696,13074995,True,True,1.0,0.73,1.0,0.79,1.0,0.26,0.8475
12344696,13031295,True,False,1.0,0.64,1.0,0.86,1.0,0.24,0.7175
12344696,13073313,False,False,1.0,0.0,0.55,0.7,0.67,0.16,0.385
12344696,22748742,False,False,0.21,0.4,1.0,0.86,1.0,0.21,0.45999999999999996
12344696,12348840,False,False,0.0,0.27,1.0,0.76,1.0,0.28,0.41375000000000006
12344696,12345055,True,True,1.0,0.67,0.91,0.67,1.0,0.27,0.815
12344696,12753211,True,False,0.21,0.64,1.0,0.81,1.0,0.38,0.63
12344696,12344984,True,False,0.21,0.27,0.92,0.92,0.86,0.26,0.5549999999999999
12344696,12345522,False,False,1.0,0.27,1.0,0.94,1.0,0.19,0.55
12344696,12348191,True,False,0.21,0.7,1.0,0.66,1.0,0.29,0.6075
12344696,12345813,False,False,0.21,0.64,1.0,0.82,1.0,0.22,0.48625
12344696,12359604,False,True,0.21,0.55,1.0,0.81,1.0,0.18,0.59375
12344696,12345743,False,False,1.0,0.73,0.3,0.72,1.0,0.1,0.48125
12344696,17864793,False,False,0.0,0.45,1.0,0.74,1.0,0.29,0.435
12344696,12345006,False,False,0.0,0.67,1.0,0.54,1.0,0.27,0.435
12344696,23166880,False,False,1.0,0.5,1.0,0.73,1.0,0.17,0.55
12344696,12348265,True,True,0.21,0.64,1.0,0.74,1.0,0.29,0.735
12344696,23166520,False,False,1.0,0.4,1.0,0.9,1.0,0.06,0.5449999999999999
12344696,12345854,False,False,1.0,0.73,1.0,0.96,1.0,0.2,0.61125
12344696,12348922,True,False,0.21,0.6,0.92,0.83,1.0,0.13,0.58625
12344696,57489018,False,True,0.21,0.1,0.64,0.67,1.0,0.11,0.46625
12344696,38274951,True,True,0.21,0.2,1.0,0.87,1.0,0.18,0.6825
12344696,12432933,True,False,1.0,0.55,1.0,0.91,1.0,0.22,0.71
12344696,24445801,False,False,1.0,0.27,1.0,0.79,1.0,0.16,0.5275000000000001
12344696,24530218,False,False,0.21,0.36,1.0,0.66,1.0,0.19,0.4275
12344696,24432605,False,False,0.21,0.36,1.0,0.92,1.0,0.25,0.46749999999999997
12344696,12346418,False,True,1.0,0.45,1.0,0.88,1.0,0.21,0.6925
12344696,12348171,True,False,0.21,0.45,1.0,0.94,1.0,0.18,0.5974999999999999
12344696,22529314,True,False,0.21,0.36,1.0,0.93,1.0,0.23,0.59125
12344696,15114811,False,False,1.0,0.42,1.0,0.85,1.0,0.19,0.5575
12344696,47120523,False,False,1.0,0.1,0.73,0.85,1.0,0.17,0.48125
12344696,15112897,True,False,1.0,0.45,1.0,0.74,1.0,0.21,0.675
12344696,15114560,True,False,1.0,0.27,1.0,0.85,1.0,0.15,0.6587500000000001
12344696,15120535,True,False,0.21,0.42,1.0,0.89,1.0,0.29,0.60125
12344696,22739044,False,True,0.0,0.4,1.0,0.82,1.0,0.25,0.55875
12344696,16351011,False,False,0.0,0.1,1.0,0.57,1.0,0.09,0.345
12344696,16589318,True,False,0.21,0.33,1.0,0.68,1.0,0.2,0.5525000000000001
12344696,17223141,True,False,1.0,0.45,1.0,0.87,1.0,0.24,0.6950000000000001
12344696,17263567,True,True,1.0,0.4,1.0,0.67,1.0,0.28,0.7937500000000001
12344696,17911757,True,False,1.0,0.4,1.0,0.32,1.0,0.15,0.60875
12344696,20541729,False,False,0.21,0.5,1.0,0.88,1.0,0.3,0.48624999999999996
12344696,37045921,True,False,1.0,0.18,1.0,0.77,1.0,0.15,0.6375000000000001
12344696,38553239,False,False,0.21,0.18,1.0,0.72,1.0,0.14,0.40625000000000006
12344696,21048907,False,False,0.21,0.5,1.0,0.83,1.0,0.16,0.4625
