IDOrganizzazione_1,IDOrganizzazione_2,similarità_campi dei piani,similarità_macroambiti dei piani,similarità_dimensione dell'organizzazione,similarità_popolazione residente nel comune dell'organizzazione,similarità_azioni eseguite (voci della tassonomia),similarità_composizione statistica dell'organico,similarità_anni di attività,similarità_settore dell'organizzazione,similarità_Media generale,similarità Media Piani delle organizzazioni,similarità Media caratteristiche delle organizzazioni
3,11931495,0.8181818181818182,1.0,0.0,,0.22857142857142856,,1.0,0.0,0.381,1.0,0.0
3,11653706,0.8181818181818182,1.0,0.0,,0.1891891891891892,,1.0,0.0,0.376,1.0,0.0
3,11947336,0.8181818181818182,1.0,0.0,,0.225,,0.75,0.0,0.349,0.875,0.0
3,12348313,0.8181818181818182,1.0,0.0,,0.1891891891891892,,0.75,0.0,0.345,0.875,0.0
3,12345522,0.8181818181818182,1.0,0.0,,0.19444444444444445,,0.75,0.0,0.345,0.875,0.0
3,188,0.8181818181818182,1.0,0.0,,0.16666666666666666,,0.75,0.0,0.342,0.875,0.0
3,11933003,0.8181818181818182,1.0,0.0,,0.14285714285714285,,0.75,0.0,0.339,0.875,0.0
3,12255427,0.8181818181818182,1.0,0.0,,0.1388888888888889,,0.75,0.0,0.338,0.875,0.0
3,11942185,0.8181818181818182,1.0,0.0,,0.1,,0.75,0.0,0.334,0.875,0.0
3,166,0.8181818181818182,1.0,0.0,,0.09090909090909091,,0.75,0.0,0.332,0.875,0.0
3,11954897,0.8181818181818182,1.0,0.0,,0.09090909090909091,,0.75,0.0,0.332,0.875,0.0
3,12303699,0.8181818181818182,1.0,0.0,,0.08823529411764706,,0.75,0.0,0.332,0.875,0.0
3,11972872,0.8181818181818182,1.0,0.0,,0.0851063829787234,,0.75,0.0,0.332,0.875,0.0
3,12344029,0.8181818181818182,1.0,0.0,,0.19444444444444445,,0.6,0.0,0.327,0.8,0.0
3,11947599,0.8181818181818182,1.0,0.0,,0.13953488372093023,,0.6,0.0,0.32,0.8,0.0
3,11927042,0.8181818181818182,1.0,0.0,,0.11320754716981132,,0.6,0.0,0.316,0.8,0.0
3,11926544,0.8181818181818182,1.0,0.0,,0.20588235294117646,,0.5,0.0,0.316,0.75,0.0
